team_ja,team_en,opp_team_ja,opp_team_en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total,win,loss,gameKind,date
東北楽天ゴールデンイーグルス,rakuten,千葉ロッテマリーンズ,lotte,0,5,0,0,0,0,0,0,1X,,,,,,,6,1,0,オープン戦,2023-03-11
千葉ロッテマリーンズ,lotte,東北楽天ゴールデンイーグルス,rakuten,0,3,1,0,0,1,0,0,0,,,,,,,5,0,1,オープン戦,2023-03-11
横浜DeNAベイスターズ,dena,中日ドラゴンズ,dragons,0,0,0,0,1,2,0,0,2,,,,,,,5,0,1,オープン戦,2023-03-11
中日ドラゴンズ,dragons,横浜DeNAベイスターズ,dena,0,0,3,0,2,2,1,0,1,,,,,,,9,1,0,オープン戦,2023-03-11
阪神タイガース,tigers,北海道日本ハムファイターズ,fighters,0,0,0,2,2,0,0,0,0,,,,,,,4,0,1,オープン戦,2023-03-11
北海道日本ハムファイターズ,fighters,阪神タイガース,tigers,0,0,0,1,4,0,0,0,0,,,,,,,5,1,0,オープン戦,2023-03-11
広島東洋カープ,carp,東京ヤクルトスワローズ,swallows,0,0,0,2,2,0,0,0,X,,,,,,,4,1,0,オープン戦,2023-03-11
東京ヤクルトスワローズ,swallows,広島東洋カープ,carp,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,オープン戦,2023-03-11
埼玉西武ライオンズ,lions,福岡ソフトバンクホークス,hawks,1,1,0,0,0,0,0,0,0,,,,,,,2,0,1,オープン戦,2023-03-11
福岡ソフトバンクホークス,hawks,埼玉西武ライオンズ,lions,0,1,2,0,0,2,0,0,0,,,,,,,5,1,0,オープン戦,2023-03-11
オリックス・バファローズ,orix,読売ジャイアンツ,giants,0,0,0,0,1,0,4,0,X,,,,,,,5,1,0,オープン戦,2023-03-11
読売ジャイアンツ,giants,オリックス・バファローズ,orix,2,0,0,0,0,0,0,1,1,,,,,,,4,0,1,オープン戦,2023-03-11
