team_ja,team_en,opp_team_ja,opp_team_en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total,win,loss,gameKind,date
中日ドラゴンズ,dragons,広島東洋カープ,carp,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,リーグ戦,2023-05-10
広島東洋カープ,carp,中日ドラゴンズ,dragons,0,0,3,0,0,1,0,0,0,,,,,,,4,1,0,リーグ戦,2023-05-10
阪神タイガース,tigers,東京ヤクルトスワローズ,swallows,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,リーグ戦,2023-05-10
東京ヤクルトスワローズ,swallows,阪神タイガース,tigers,0,0,0,2,0,0,1,2,0,,,,,,,5,1,0,リーグ戦,2023-05-10
東北楽天ゴールデンイーグルス,rakuten,オリックス・バファローズ,orix,0,0,0,0,0,0,0,0,2,,,,,,,2,0,1,リーグ戦,2023-05-10
オリックス・バファローズ,orix,東北楽天ゴールデンイーグルス,rakuten,0,3,3,0,0,0,1,0,1,,,,,,,8,1,0,リーグ戦,2023-05-10
埼玉西武ライオンズ,lions,千葉ロッテマリーンズ,lotte,0,0,0,0,1,0,1,0,0,,,,,,,2,0,1,リーグ戦,2023-05-10
千葉ロッテマリーンズ,lotte,埼玉西武ライオンズ,lions,0,0,2,0,0,1,0,0,0,,,,,,,3,1,0,リーグ戦,2023-05-10
福岡ソフトバンクホークス,hawks,北海道日本ハムファイターズ,fighters,0,0,0,2,0,0,0,0,1,,,,,,,3,0,1,リーグ戦,2023-05-10
北海道日本ハムファイターズ,fighters,福岡ソフトバンクホークス,hawks,0,1,0,0,0,3,0,2,0,,,,,,,6,1,0,リーグ戦,2023-05-10
