team_ja,team_en,opp_team_ja,opp_team_en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total,win,loss,gameKind,date
読売ジャイアンツ,giants,横浜DeNAベイスターズ,dena,0,0,0,0,1,0,0,1,0,,,,,,,2,0,1,リーグ戦,2023-08-11
横浜DeNAベイスターズ,dena,読売ジャイアンツ,giants,0,0,0,0,0,0,1,0,3,,,,,,,4,1,0,リーグ戦,2023-08-11
中日ドラゴンズ,dragons,広島東洋カープ,carp,2,0,0,1,0,0,0,0,0,0,0,0,,,,3,0,0,リーグ戦,2023-08-11
広島東洋カープ,carp,中日ドラゴンズ,dragons,0,0,1,0,0,0,2,0,0,0,0,0,,,,3,0,0,リーグ戦,2023-08-11
阪神タイガース,tigers,東京ヤクルトスワローズ,swallows,1,0,0,0,0,0,0,1,X,,,,,,,2,1,0,リーグ戦,2023-08-11
東京ヤクルトスワローズ,swallows,阪神タイガース,tigers,0,0,0,1,0,0,0,0,0,,,,,,,1,0,1,リーグ戦,2023-08-11
千葉ロッテマリーンズ,lotte,埼玉西武ライオンズ,lions,1,1,0,0,0,0,0,0,0,,,,,,,2,0,1,リーグ戦,2023-08-11
埼玉西武ライオンズ,lions,千葉ロッテマリーンズ,lotte,2,0,2,0,2,0,2,0,0,,,,,,,8,1,0,リーグ戦,2023-08-11
福岡ソフトバンクホークス,hawks,北海道日本ハムファイターズ,fighters,1,2,0,1,0,0,0,3,X,,,,,,,7,1,0,リーグ戦,2023-08-11
北海道日本ハムファイターズ,fighters,福岡ソフトバンクホークス,hawks,1,0,0,0,2,0,1,0,0,,,,,,,4,0,1,リーグ戦,2023-08-11
東北楽天ゴールデンイーグルス,rakuten,オリックス・バファローズ,orix,0,1,0,0,0,4,0,0,X,,,,,,,5,1,0,リーグ戦,2023-08-11
オリックス・バファローズ,orix,東北楽天ゴールデンイーグルス,rakuten,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,リーグ戦,2023-08-11
